region,category,parameter,mode,powertrain,year,unit,value,Log_price,Log_range_km,Log_charging_time,Log_sales_volume,Log_co2_saved,Log_battery_capacity,Log_energy_efficiency,Log_weight_kg,Log_number_of_seats,Log_motor_power,Log_distance_traveled
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100.0,0.05134118167829271,0.6070339295214027,0.7264753608330826,0.42617371357751677,0.38506891632306195,0.4472033921544283,0.6049592401198062,0.6381279485802489,0.7314158822675507,0.5874452395396079,0.9778598518782462
Australia,Historical,EV stock,Cars,PHEV,2013,Vehicles,180.0,0.4103218727103677,0.4958152450324518,0.715334978447675,0.1422895248452849,0.08184522967661256,0.3923677437416875,0.6573011776164558,0.7753145213880677,0.3236566839097653,0.5701249123722998,0.7962584082621644
Australia,Historical,EV stock share,Cars,EV,2013,percent,0.004600000102073,0.18095977417709896,0.7179110100197883,0.7333001094126503,0.7699354884807876,0.7342822879342715,0.22131562961874396,0.3504752683038891,0.3755330195947497,0.3236566839097653,0.6622126621009987,0.9784838466420194
Australia,Historical,EV sales share,Cars,EV,2013,percent,0.034000001847744,0.7998923233026591,0.6791867819689925,0.6877114336689875,0.740856492500142,0.6925272703861528,0.382201795894739,0.4299950615619469,0.6072930446165481,0.8769514395748776,0.9653247016884512,0.7145450700792577
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190.0,0.5508463650743671,0.7955967042570415,0.6452763278754254,0.7928467837039532,0.8019776279193841,0.713889040034376,0.5732189152080706,0.45532155242973094,0.0,0.4142295477439055,0.7922570641033451
Australia,Historical,EV stock,Cars,BEV,2013,Vehicles,410.0,0.5071034681410307,0.8084537500001436,0.7216354660749376,0.7750931611648055,0.7902996542557751,0.550984141453851,0.4736107948956082,0.5609756519713809,0.6437577467951239,0.6613633315227934,0.7934978230290817
Australia,Historical,EV stock,Cars,BEV,2014,Vehicles,780.0,0.7241366488138663,0.27172167715563655,0.7264753608330826,0.7198960303926367,0.4460226600031446,0.45220114072507633,0.7494947658779957,0.3092147828530889,1.0,0.6582276242772509,0.6410107306021264
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370.0,0.517612465158166,0.34413554285042935,0.9227126507902609,0.670699619357439,0.4455373312092151,0.5498100833723127,0.7460066331077823,0.7500912297516953,0.6455375370534095,0.2899665024649529,0.5466635817926804
Australia,Historical,EV sales share,Cars,EV,2014,percent,0.159999996423721,0.5153110026152348,0.3711285392743038,0.6361169553802354,0.9041455527403834,0.6581186946575318,0.8237777135348143,0.8562757349239761,0.27490593069280234,0.3236566839097653,0.8196578797619058,0.8690518670897203
Australia,Historical,EV stock share,Cars,EV,2014,percent,0.014000000432134,0.3481446312572132,0.2269120450970401,0.6284812061816517,0.577409877999993,0.5399523841932462,0.6797309113866161,0.9028159796963823,0.8392595634943865,0.6275584977351139,0.9044806044270581,0.9529475585854912
Australia,Historical,EV stock,Cars,PHEV,2014,Vehicles,1100.0,0.4453787545104184,0.8546819672299135,0.9913226753548942,0.6722741099915504,0.727292925452614,0.658893766457175,0.47956722352689496,0.5083124402257697,0.6561337404394656,0.947342874145984,0.6650625876330509
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950.0,0.5120063769187286,0.7223973970800619,0.6622592845853962,0.9197779165980244,0.8529478314881364,0.5267857237794942,0.5830077968131283,0.2535029904949786,0.8769514395748776,0.5959522680890492,0.9256556175449195
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000.0,0.27758304823617586,0.42989513357066467,0.7319434447616259,0.8123894421890854,0.6585477453988072,0.5352457504184915,0.7035993644592237,0.6217417643490997,0.0,0.6645624196102964,0.7988753180362558
Australia,Historical,EV stock,Cars,PHEV,2015,Vehicles,2100.0,0.18473243878326429,0.48956778005967583,0.7326222901980187,0.6683255771136691,0.4130750663600212,0.6197522686034422,0.7251387077700141,0.5378109205147927,0.0,0.15554469096177348,0.9971360594073286
Australia,Historical,EV stock share,Cars,EV,2015,percent,0.027000000700355,0.40019116680349676,0.16885320167373963,0.6394693248292153,0.9309177770778749,0.5672807793366336,0.5661564426167303,0.6601571771695479,0.47804761187685685,0.7314158822675507,0.5433407730738091,0.8023961181836659
Australia,Historical,EV sales share,Cars,EV,2015,percent,0.200000002980232,0.3308707547906504,0.6856663698710237,0.99700080938539,0.7575915412568319,0.6466691167083177,0.6480760860206818,0.5985175098661978,0.4527550687672601,0.8769514395748776,0.9235462045900009,0.7978214722865453
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760.0,0.5505398558940335,0.8431260229790605,0.8270776884661161,0.7627112205818234,0.7993864279986406,0.5659568055337518,0.43758446555378583,0.5528917595372258,0.3236566839097653,0.662598391911918,0.5894857112882521
Australia,Historical,EV stock,Cars,BEV,2015,Vehicles,1500.0,0.49047815360865954,0.6907825880995329,0.7257871376356613,0.27770080812666254,0.19901289650414933,0.508042977367418,0.5927336021168185,0.37439688875836996,0.3236566839097653,0.6528537886802841,0.9759084002073659
Australia,Historical,EV stock,Cars,BEV,2016,Vehicles,2200.0,0.33723256157608184,0.7897377323594414,0.7257871376356613,0.7499675510021855,0.7485767961294411,0.7185505948824527,0.6250362020805523,0.6021860948654423,0.6329948565466348,0.4196459707210751,0.9781315942961983
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670.0,0.5285478927338847,0.5294715633876825,0.7278486462101014,0.8356563832314059,0.6871488959813045,0.27764804035755475,0.4566933449979079,0.6155070894137982,0.7314158822675507,0.6649084596444235,0.16783220197585225
Australia,Historical,EV sales share,Cars,EV,2016,percent,0.150000005960464,0.41789198340666367,0.6672789438986795,0.7223300863921557,0.12017750920016512,0.1593081239960068,0.5004929385120642,0.6433153541450926,0.3577342611191012,0.3236566839097653,0.6619811254078898,0.6558434693288744
Australia,Historical,EV stock share,Cars,EV,2016,percent,0.037000000476837,0.267653242590729,0.6318483849947751,0.7339769055035501,0.8912985251739118,0.8023799281165312,0.53859702669197,0.6330431375526461,0.4675244665071432,1.0,0.6656768451228197,0.7989673488712459
Australia,Historical,EV stock,Cars,PHEV,2016,Vehicles,2800.0,0.6233428410547468,0.655041815454757,0.7250978564467435,0.7981435201693152,0.705484812893152,0.6642003322911985,0.627918074774172,0.6473323325510432,0.7314158822675507,0.6565574475770743,0.9474582864658165
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700.0,0.1471190558543185,0.7915643488165578,0.9275695673857925,0.750743055393881,0.7567324488608563,0.23611947912650688,0.10526929954723518,0.40723603614660586,1.0,0.884898658812177,0.5884117804851918
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100.0,0.7323522549660755,0.6176616637021655,0.6460997942686625,0.9112321710051869,0.8025185013992268,0.6369736973423661,0.6333771139675121,0.2647065735698,0.0,0.5959522680890492,0.6397974618216753
Australia,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,0.38128967205796016,0.7513271573622256,0.7292177383428012,0.8332351271090364,0.7844394172981249,0.49564564312971693,0.5282766658939869,0.238761159039945,0.8769514395748776,0.4032734428942253,0.4163594926687524
Australia,Historical,EV sales share,Cars,EV,2017,percent,0.259999990463257,0.49683004556650623,0.6930657296096554,0.7195451251090214,0.6403850114468037,0.6427820228921964,0.5498100833723127,0.5635398285995922,0.7719071167495253,0.7314158822675507,0.6330418894662637,0.9557926685443783
Australia,Historical,EV charging points,EV,Publicly available fast,2017,charging points,40.0,0.5098928450124713,0.8819330672482388,0.5710469219236378,0.696449435170162,0.7624028754162945,0.7044084967594926,0.5136678486542731,0.5015803691227543,0.3236566839097653,0.6607836699843346,0.7935011099024898
Australia,Historical,EV charging points,EV,Publicly available slow,2017,charging points,440.0,0.3741920332029558,0.7532306875307346,0.8298167154632184,0.2663046197406558,0.32222620202207775,0.45428787088894595,0.4894157980016637,0.2461669034959293,0.0,0.8647716194378408,0.7971085443860644
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200.0,0.5206253981192486,0.8293954092857423,0.9694653191143155,0.9343212550559103,0.940959872529688,0.45653690778299416,0.41751507051565906,0.6566035712155278,0.0,0.9208531322539075,0.7928809881195473
Australia,Historical,EV stock,Cars,BEV,2017,Vehicles,3400.0,0.7004895008326262,0.32999542792700054,0.7576851937689082,0.8409300444454768,0.5814060115397711,0.2511239308355333,0.5947495838861357,0.2353715244947141,0.3236566839097653,0.05564968892362776,0.86672818691402
Australia,Historical,EV stock,Cars,BEV,2018,Vehicles,5200.0,0.49961250674726365,0.7468460159532488,0.7188461735643822,0.3691236709139112,0.4755386612804088,0.5312899370721249,0.5365744764707384,0.5742521575161836,0.6455375370534095,0.3398544948766653,0.8672897546368854
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800.0,0.503860234418303,0.6511368331017577,0.8511466502930237,0.7423845338841129,0.6745577536724249,0.5621456399012568,0.640151094601129,0.5107027383922329,0.6401862168988539,0.6589256242003425,0.9153189942636395
Australia,Historical,EV charging points,EV,Publicly available slow,2018,charging points,670.0,0.6102812521732908,0.8284647087370314,0.010307978686688285,0.7233326424993956,0.7614567597272867,0.713889040034376,0.5528853748807842,0.6549707905379325,0.7314158822675507,0.6574512777495913,0.8958658785575571
Australia,Historical,EV sales share,Cars,EV,2018,percent,0.419999986886978,0.5159304622170993,0.441214112415951,0.6646337508146548,0.8429645467591991,0.6455597473653679,0.5358895483885866,0.677456146002282,0.5014934344559485,1.0,0.5433407730738091,0.7931774493906927
Australia,Historical,EV stock share,Cars,EV,2018,percent,0.076999999582768,0.19412424748261792,0.847609829803263,0.43189205618567394,0.7710541528003239,0.822871180775424,0.6071441013782961,0.4799635195781119,0.7200204520619682,0.6473133678195306,0.6675559459248976,0.5976552970168116
Australia,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,0.5286081286551774,0.4977865086383646,0.7373456465572819,0.9172717388274152,0.7403519447796422,0.43074568225338306,0.5506368027405323,0.5234852699529124,0.3236566839097653,0.9728963843429286,0.5389029415345936
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800.0,0.5811443675901504,0.7539148410833676,0.9371283607449218,0.649945547736388,0.6296422793651003,0.46592158321942234,0.4686444271889988,0.2973829232655669,0.5532947556651124,0.3865215951637322,0.9631859945431178
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900.0,0.5121139542654429,0.7633403952325117,0.7312635699913493,0.7485290547392016,0.7086987676097073,0.4398184280858708,0.41532687749919617,0.19565114233395953,0.6490852566717202,0.8734661821449197,0.7934039227950525
Australia,Historical,EV stock,Cars,PHEV,2019,Vehicles,8600.0,0.777369721231878,0.6023998772543033,0.5690974522218114,0.775195393696885,0.6785524381460194,0.5343858219645135,0.6352013884052031,0.5480791613255676,0.3236566839097653,0.9703812893327894,0.7843800739202829
Australia,Historical,EV sales share,Cars,EV,2019,percent,1.20000004768372,0.4392365816061421,0.7792420321759377,0.7216354660749376,0.613250328342474,0.6404432883113108,0.658893766457175,0.5476489564222301,0.645511368882274,0.5532947556651124,0.6612860701607799,0.7954038420691019
Australia,Historical,EV charging points,EV,Publicly available slow,2019,charging points,1700.0,0.33845410655646546,0.8963828739666677,0.2984581224514111,0.6094947063113634,0.702207987188351,0.6947099909784384,0.49932671188976563,0.22235486757945377,0.7314158822675507,0.6620969030218431,0.8485192262641661
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300.0,0.17507511612853754,0.775340878797725,0.7271625292818961,0.7564866159958434,0.7600472324714606,0.4487001544804985,0.4030187376813893,0.5691050660736892,0.5532947556651124,0.6655616393412642,0.8008966651359066
Australia,Historical,EV stock,Cars,BEV,2019,Vehicles,12000.0,0.5266080019601205,0.43897335852597563,0.7360011858045471,0.8785809311665242,0.6745191040702548,0.5700635608602649,0.7004826881742078,0.3542419253681759,0.7314158822675507,0.6640622914680301,0.5423676863842695
Australia,Historical,EV stock,Cars,BEV,2020,Vehicles,17000.0,0.22226935505464773,0.878618085846836,0.6622592845853962,0.8967266323982113,0.9107939640977784,0.5804162311587364,0.42423100698115424,0.5667275488454022,0.8769514395748776,0.9551041910897986,0.7998370796749694
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200.0,0.8134941475848532,0.6883853306330663,0.7188461735643822,0.5696316929816456,0.5181907785997982,0.43711703301975624,0.4713822084364353,0.5670162536107979,0.6648577136147873,0.9342193000089054,0.7834386156988331
Australia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,2300.0,0.5100472589953622,0.16469779135151685,0.9004143079729147,0.6926138783727414,0.664244381649492,0.709175399696844,0.960402368483478,0.6062717926060506,1.0,0.7164219041220767,0.7934995561122662
Australia,Historical,EV sales share,Cars,EV,2020,percent,1.10000002384186,0.5090652981155994,0.784901541605812,0.2631638468683347,0.6745746909353771,0.6970302657527522,0.6746173163974492,0.5758220736273062,0.6764908175615858,0.6508532210714126,0.6605516751949847,0.7935351717472074
Australia,Historical,EV stock share,Cars,EV,2020,percent,0.180000007152557,0.6801861103113556,0.6894708056629233,0.9847993129432723,0.6012254609328633,0.5614392936006009,0.17350606271671265,0.21405212673583363,0.5592058956429913,1.0,0.6534398395726115,0.9818912589063031
Australia,Historical,EV stock,Cars,PHEV,2020,Vehicles,10000.0,0.5113314128498363,0.48784119239976786,0.7285337148309033,0.7403169677656716,0.5490328752814063,0.27764804035755475,0.4805098440580674,0.6271585751953035,0.6613795573485712,0.7306005757840266,0.7934205412678987
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700.0,0.4180799398735111,0.7747311637273488,0.7223300863921557,0.05024956766973876,0.3461874242673283,0.5217157710810223,0.516438167981604,0.43822457328456554,1.0,0.7479416727192891,0.7960949886480249
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400.0,0.36063823100037595,0.7195704399236351,0.7353274406363198,0.8424775537115439,0.7970796328756028,0.5061297476877165,0.5194420551644624,0.5665276136951771,0.0,0.7715410801191913,0.8712977545379599
Australia,Historical,EV stock,Cars,PHEV,2021,Vehicles,14000.0,0.5241301043960274,0.8659609424464978,0.9642351968020778,0.7720280701494167,0.8207990947083831,0.5700635608602649,0.436370944826442,0.5278634265973334,0.0,0.6642931628258029,0.354452790952434
Australia,Historical,EV stock,Cars,FCEV,2021,Vehicles,44.0,0.8028077773978826,0.891246770064803,0.9646396869739299,0.8474711827627215,0.8878130276278179,0.7454873868646736,0.5842474199631821,0.6841713688571893,0.7314158822675507,0.9878059658886036,0.7835900995218323
Australia,Historical,EV stock share,Cars,EV,2021,percent,0.319999992847443,0.22860495596825636,0.8376847911402294,0.749920890232722,0.7894288339027562,0.8032332345382595,0.41199297625678244,0.35129117570900703,0.1694806233702737,0.8769514395748776,0.6653695889068403,0.7998824250786045
Australia,Historical,EV sales share,Cars,EV,2021,percent,2.79999995231628,0.12756650658010926,0.8142640909838141,0.7740603428796812,0.3358050126723926,0.5682194037442142,0.5000262720692248,0.3594949751421289,0.7011809674619167,0.6526172783642754,0.15554469096177348,0.3262953464553653
Australia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,2000.0,0.6241591907298965,0.5227003268429391,0.7160394205801467,0.5473702584650937,0.44762718574369054,0.5137311501214541,0.673839484061289,0.7934616126371425,0.0,0.7879383606747181,0.7902304708858829
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000.0,0.07478006666312176,0.8171409025084724,0.7264753608330826,0.8592116012995348,0.870366847689333,0.5357465670547967,0.44430400302592055,0.6501915574166777,0.5532947556651124,0.5917112642225795,0.9622397531446043
Australia,Historical,EV stock,Cars,BEV,2021,Vehicles,34000.0,0.7510241922652057,0.6191592893202544,0.715334978447675,0.6453635780988565,0.5490841144539588,0.42529978694554127,0.53740129125724,0.6192538717092813,0.0,0.10732088590467104,0.12202708226054915
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44.0,0.2814701728224023,0.4958152450324518,0.9218238946517189,0.6089542353763417,0.47769914977354266,0.713889040034376,0.7586529650199113,0.3317530837658822,0.8769514395748776,0.6632536607255886,0.798991408410394
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15.0,0.5079023853555462,0.7138255533035307,0.43716714438323157,0.5207868358800609,0.3973286275017799,0.5498100833723127,0.548619185905597,0.32512027186061854,0.6561337404394656,0.6634847903700059,0.1641696853071517
Australia,Historical,EV stock,Cars,BEV,2022,Vehicles,67000.0,0.5248832394610243,0.8727564379304311,0.7167427577048981,0.8500156035280466,0.8937846073075507,0.6313109757916986,0.47190707397077525,0.6949871022839398,0.6329948565466348,0.664485499330834,0.9373014057476627
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000.0,0.49908505509322865,0.8642456381757919,0.931069115492935,0.7283747289972027,0.8044092126448502,0.3273367481007323,0.27992467268661614,0.31414341651281674,0.5532947556651124,0.13982474388647415,0.9674277094682342
Australia,Historical,EV sales share,Cars,EV,2022,percent,5.09999990463257,0.2727850635272482,0.48043732997015653,0.7299007199296779,0.8580585150801059,0.7456041555849081,0.5700635608602649,0.714748850740894,0.6818751345747067,0.6347987795745893,0.44613571261315244,0.889446235197703
Australia,Historical,EV stock,Cars,FCEV,2022,Vehicles,100.0,0.7957674714866716,0.8736154112106249,0.3090502053590215,0.8919853103976227,0.893291620768003,0.6255712080493623,0.5079565449422309,0.3257255910072301,0.5532947556651124,0.8134243145501854,0.4494807500102773
Australia,Historical,EV stock,Cars,PHEV,2022,Vehicles,21000.0,0.1947481443604353,0.09541979668963241,0.7285337148309033,0.5979299065504642,0.3443836852642038,0.7540972045026699,0.9213317108859259,0.5397908032912522,0.0,0.7581501587881543,0.9743013881462317
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900.0,0.5044342038133056,0.5651618233473539,0.7237161070478825,0.7823641712704723,0.681102534313372,0.7231612027560932,0.7553010028211166,0.7082528937182868,0.6329948565466348,0.2963940033319603,0.9236041266304187
Australia,Historical,EV charging points,EV,Publicly available fast,2022,charging points,470.0,0.5066066819483943,0.43218220815858976,0.7264753608330826,0.8184470258728278,0.6770801213098817,0.3273367481007323,0.5471920529006463,0.7708819858051097,0.6561337404394656,0.6528537886802841,0.913908990769631
Australia,Historical,EV charging points,EV,Publicly available slow,2022,charging points,2100.0,0.039211726701438465,0.5315904200828838,0.9568912729815054,0.4756120755064588,0.2531112289562102,0.3923677437416875,0.6728812068188647,0.3845629749441857,0.5532947556651124,0.7781446793155347,0.8033301575649658
Australia,Historical,EV charging points,EV,Publicly available fast,2023,charging points,660.0,0.7909532428246226,0.7193797430053077,0.2802288913932155,0.7517978665083622,0.7340633993226092,0.5428369259114323,0.5533184570274815,0.6636501825763377,0.8769514395748776,0.4087722457161327,0.7502739387865325
Australia,Historical,EV charging points,EV,Publicly available slow,2023,charging points,2100.0,0.5255307402111029,0.9160837473516825,0.7146294278298799,0.8016626599629797,0.859568401256004,0.563486815474693,0.19994571327575483,0.5653180244198381,1.0,0.09896138139662725,0.3291095571819973
Australia,Historical,EV stock share,Cars,EV,2023,percent,1.20000004768372,0.5016111852886045,0.05022259823344366,0.7257871376356613,0.6326716381059589,0.35685428773795536,0.6642003322911985,0.8817423170600155,0.577891074448809,0.8769514395748776,0.947342874145984,0.9034764976752103
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000.0,0.5044368251892788,0.4990631373548966,0.7250978564467435,0.7467468493725233,0.6336385505956593,0.5285349996292168,0.6967242688971492,0.6620792783569529,0.6437577467951239,0.6590031381722672,0.9064093189316238
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,0.5877208796838982,0.7781995159157289,0.7802025940698117,0.708824966500047,0.7209363004793098,0.6797309113866161,0.682154161375275,0.19850550482896434,0.3236566839097653,0.9315657590992448,0.7912664280280732
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0,0.07076378388174298,0.8981454277064855,0.5710469219236378,0.6570695764251955,0.7673250171196447,0.5408636079471563,0.32006610869290786,0.370978532601689,0.6473133678195306,0.9576728939204324,0.8885981238108243
Australia,Historical,EV sales share,Cars,EV,2023,percent,12.0,0.36859375221262525,0.5426398469779505,0.4358541790963164,0.571469677589683,0.06997247030568088,0.7185505948824527,0.7881962012448497,0.16279844719896364,0.5532947556651124,0.8763412916441493,0.7971360005187913
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000.0,0.49601260626998744,0.5778164267188919,0.7230236322768997,0.6897993282194825,0.597515994479873,0.22131562961874396,0.4572061336004475,0.6741718257206397,0.8769514395748776,0.04666710028706689,0.9830068684193063
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,0.4995334100571007,0.7155123702842798,0.5806691221961675,0.5765732231575784,0.479553104809577,0.5830450903797262,0.5378595559821667,0.39956789043583285,0.6526172783642754,0.8134243145501854,0.9145129463597086
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6.0,0.5145350845113459,0.8656955052884878,0.5429514574972872,0.923374196165851,0.8895073989549022,0.6746173163974492,0.4852858531230476,0.23060115071703624,0.0,0.6834653051430188,0.8938096906453281
Austria,Historical,EV stock share,Cars,EV,2010,percent,0.00789999961853,0.29044444734289954,0.7864716810203143,0.9770012498674784,0.7540412249982285,0.7203070303147258,0.6313109757916986,0.5252887991670506,0.3766674978766025,0.5532947556651124,0.6624441246786477,0.9041224406223698
Austria,Historical,EV stock share,Cars,EV,2011,percent,0.021999999880791,0.645737226319353,0.7430880543748641,0.9271301971153677,0.6249203950811548,0.6561204763004692,0.5638883381141173,0.5800017441641069,0.572604900930493,0.6455375370534095,0.6568684703621916,0.8562811843188376
Austria,Historical,EV charging points,EV,Publicly available fast,2011,charging points,0.100000001490116,0.46767471381130754,0.7094582683757997,0.7492677549022446,0.5392476860931352,0.4593141745043955,0.6897758245400625,0.610855681563898,0.6555815018720024,0.5532947556651124,0.8039720350322836,0.5709238322222476
Austria,Historical,EV charging points,EV,Publicly available slow,2011,charging points,0.100000001490116,0.0122331032304821,0.6054946307597444,0.8803770935578218,0.7863269527840533,0.6897290551684033,0.5137311501214541,0.5687700122455447,0.7532453940734314,0.3236566839097653,0.6632921874638238,0.9979242476560657
Austria,Historical,EV stock,Cars,BEV,2011,Vehicles,990.0,0.7782502051488613,0.7479649746980572,0.6995504666664178,0.8386344945094648,0.8066719493878173,0.5956390531091287,0.5809943968223473,0.553885952970937,0.5532947556651124,0.7199927216819582,0.8699707725399008
Austria,Historical,EV stock,Cars,PHEV,2012,Vehicles,140.0,0.47297361343370525,0.6321678932408556,0.7951998892767878,0.5196148679920349,0.37623817938223436,0.7366981851817471,0.7494665855426975,0.5659764159400984,0.3236566839097653,0.8530138142562529,0.8705170702282019
Austria,Historical,EV charging points,EV,Publicly available fast,2012,charging points,0.100000001490116,0.5100095772422453,0.6778794015564096,0.20549473104043028,0.7055124358913938,0.6749516365234302,0.3717848117884883,0.4587795136903291,0.6545739685088883,1.0,0.9803896025530356,0.7934853325823661
Austria,Historical,EV charging points,EV,Publicly available slow,2012,charging points,0.100000001490116,0.508523327074407,0.77531986811796,0.7181461307600578,0.8364866788972547,0.8355928417094508,0.5035137520126807,0.3810810473645293,0.8317054736326517,1.0,0.6601648517297058,0.8944211901996093
Austria,Historical,EV stock share,Cars,EV,2013,percent,0.052999999374151,0.5099737320585813,0.7708323169232913,0.40171461132841857,0.7101043267050846,0.7178842806841131,0.7366981851817471,0.6580696310661321,0.7207500626682712,0.6401862168988539,0.3398544948766653,0.7944538026932628
Austria,Historical,EV sales share,Cars,EV,2013,percent,0.200000002980232,0.5396672014710866,0.7191054721424954,0.3377696794225652,0.8818657434459984,0.8345518230148333,0.6897758245400625,0.6048875625253255,0.7408713524307471,0.7314158822675507,0.734102224692009,0.9278270233414121
Austria,Historical,EV charging points,EV,Publicly available fast,2013,charging points,0.100000001490116,0.7479465859350274,0.6176616637021655,0.7230236322768997,0.7372938745718094,0.6548518732327392,0.5498100833723127,0.6397832182767685,0.5629378456100973,0.7314158822675507,0.6522281437471134,0.998607690252979
Austria,Historical,EV charging points,EV,Publicly available slow,2013,charging points,0.100000001490116,0.5184888319106022,0.7106757325488668,0.7264753608330826,0.8986339294508285,0.8304838969931508,0.6797309113866161,0.6035821412968326,0.6737846558535372,0.3236566839097653,0.6622898245262565,0.7930080359953835
Austria,Historical,EV stock,Cars,PHEV,2013,Vehicles,410.0,0.38776141527641705,0.6039499592166491,0.8443250965698276,0.8627954812077827,0.7750205885904197,0.4398184280858708,0.5797923051854449,0.5581421111108815,1.0,0.9017154420271023,0.9505257621945442
Austria,Historical,EV stock,Cars,BEV,2013,Vehicles,2100.0,0.28831447562246026,0.8196191012400733,0.43453735781183433,0.8070394088485822,0.8183718874306963,0.5830450903797262,0.4846192409865847,0.5854003464072939,1.0,0.705602414188331,0.8289127475587783
