region,category,parameter,mode,powertrain,year,unit,value,price,range_km,charging_time,sales_volume,co2_saved,battery_capacity,energy_efficiency,weight_kg,number_of_seats,motor_power,distance_traveled
Austria,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.100000001490116,54770.86,211.0,11.78,2767.46,157.01,80.0,379.15,1153.0,4.0,186.67,69996.0
Austria,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.100000001490116,54538.74,248.0,10.38,581.0,57.64,39.0,250.73,1958.41,3.0,219.0,50362.82
Austria,Historical,EV stock,Cars,PHEV,2015,Vehicles,1500.0,55038.74,272.0,10.47,1708.0,185.83,56.57,278.67,1837.47,4.0,144.0,40562.0
Austria,Historical,EV stock,Cars,FCEV,2015,Vehicles,6.0,48210.0,515.89,4.53,3393.0,788.53,22.0,37.87,1761.55,3.0,187.68,55326.0
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4.0,56132.18,540.0,4.69,2837.0,584.88,85.0,170.15,1747.37,4.51,230.0,95.0
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100.0,62763.0,236.0,10.04,2985.0,281.78,29.0,166.79,1654.51,4.0,239.0,49741.72
Austria,Historical,EV stock,Cars,BEV,2015,Vehicles,5000.0,55152.85,181.0,7.54,2844.85,220.89,69.0,381.22,1791.52,7.0,188.0,50276.98
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700.0,54383.0,435.0,4.36,1374.8,303.98,63.37,140.23,2295.0,2.0,186.66,60370.0
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800.0,31271.0,535.0,6.53,60.0,12.84,52.0,-70.74,1789.0,5.0,189.09,3718.0
Austria,Historical,EV stock,Cars,BEV,2016,Vehicles,9100.0,55117.07,260.0,6.5,2746.0,247.96,78.0,300.0,1907.77,2.0,75.0,50280.94
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200.0,54823.0,537.0,7.49,5608.75,1063.9,47.0,87.52,1636.63,2.0,122.0,73139.0
Austria,Historical,EV stock,Cars,FCEV,2016,Vehicles,13.0,41500.0,394.0,8.44,4820.0,737.27,81.0,205.58,2444.0,5.0,209.0,51191.98
Austria,Historical,EV stock,Cars,PHEV,2016,Vehicles,2300.0,55013.26,462.0,4.08,2381.0,437.45,67.0,145.02,1759.0,4.5,187.07,50295.06
Austria,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.100000001490116,32105.0,289.01,6.49,311.0,18.66,91.2,466.67,1598.0,4.43,166.0,28861.0
Austria,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.100000001490116,55298.55,294.38,6.43,3572.0,481.95,61.21,227.64,2475.0,7.0,155.0,50250.08
Austria,Historical,EV sales share,Cars,EV,2016,percent,1.5,79442.0,150.0,4.92,2363.27,72.64,86.0,500.62,1165.0,4.45,185.96,23064.0
Austria,Historical,EV stock share,Cars,EV,2016,percent,0.239999994635582,55054.99,300.82,4.47,2474.0,249.38,95.0,376.98,1667.0,7.0,187.02,50291.12
Austria,Historical,EV stock share,Cars,EV,2017,percent,0.379999995231628,48980.0,514.0,6.49,3447.0,708.7,60.88,178.99,1133.0,6.0,103.0,99177.0
Austria,Historical,EV sales share,Cars,EV,2017,percent,2.0,50559.0,275.0,6.49,3376.0,371.36,96.0,349.09,1987.0,2.0,81.0,10282.0
Austria,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.100000001490116,53742.0,336.36,10.36,1268.82,143.4,27.0,70.5,1733.44,2.0,248.0,60028.0
Austria,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.100000001490116,54144.64,253.0,5.75,2463.0,249.26,52.0,205.53,1963.0,4.51,186.14,94874.0
Austria,Historical,EV stock,Cars,PHEV,2017,Vehicles,3900.0,53050.0,261.26,5.95,482.0,35.86,89.0,478.49,1774.67,4.45,186.97,38266.0
Austria,Historical,EV stock,Cars,FCEV,2017,Vehicles,19.0,42047.0,585.0,6.41,2680.0,627.12,91.0,155.56,1881.58,7.0,219.0,11243.0
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2.0,50971.0,140.0,3.47,2696.12,164.64,55.05,362.08,1778.46,3.0,130.0,50572.89
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700.0,78314.0,383.56,5.03,607.25,23.64,67.0,170.05,1383.0,4.0,77.0,74796.0
Austria,Historical,EV stock,Cars,BEV,2017,Vehicles,15000.0,54741.66,323.0,5.69,3027.0,375.57,51.0,157.89,1847.5,4.52,198.0,72525.0
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400.0,59615.0,304.0,6.53,2514.31,277.08,54.0,246.4,1320.0,5.0,187.18,30527.0
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800.0,54114.41,396.4,9.94,595.0,140.66,45.05,76.14,2289.0,3.0,187.0,70414.0
Austria,Historical,EV stock,Cars,BEV,2018,Vehicles,21000.0,56577.61,295.0,11.0,4868.0,574.42,87.0,309.6,2083.0,5.0,123.0,4500.0
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300.0,72307.0,345.18,3.54,2551.13,353.07,59.32,216.99,1753.64,4.5,186.15,40646.0
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7.0,61117.0,275.0,6.38,689.61,37.07,31.0,112.73,2408.0,4.68,269.0,35244.0
Austria,Historical,EV stock,Cars,FCEV,2018,Vehicles,24.0,54757.32,439.06,4.12,2537.9,421.74,43.0,72.76,1431.0,6.0,284.0,65977.0
Austria,Historical,EV stock,Cars,PHEV,2018,Vehicles,5700.0,55129.59,206.0,2.58,3310.24,323.5,71.0,374.36,1805.02,5.0,179.0,57491.0
Austria,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.100000001490116,54547.4,351.0,10.43,3016.0,423.45,58.36,217.62,1585.0,4.47,237.0,82740.0
Austria,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.100000001490116,54837.56,338.0,10.77,1722.0,232.81,21.0,55.6,1877.0,4.57,186.91,50320.06
Austria,Historical,EV sales share,Cars,EV,2018,percent,2.59999990463257,40293.0,406.0,8.17,1112.0,180.59,61.46,171.27,1702.83,4.55,188.51,13392.0
Austria,Historical,EV stock share,Cars,EV,2018,percent,0.529999971389771,54871.86,362.41,9.38,1662.0,180.83,49.31,180.15,1021.0,7.0,87.0,50321.82
Austria,Historical,EV stock share,Cars,EV,2019,percent,0.75,39346.0,251.0,9.49,2605.47,228.47,46.87,243.03,1404.0,4.49,164.0,15238.0
Austria,Historical,EV sales share,Cars,EV,2019,percent,3.5,31594.0,174.0,1.41,1812.0,126.12,63.0,393.27,1939.97,4.47,188.34,51946.01
Austria,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.100000001490116,64152.0,190.0,3.84,4188.0,318.29,87.97,426.32,1410.94,6.0,149.0,73668.0
Austria,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.100000001490116,79559.0,206.0,6.45,1568.15,24.88,62.0,300.97,1704.0,2.0,197.0,29561.0
Austria,Historical,EV stock,Cars,PHEV,2019,Vehicles,8000.0,43602.0,497.0,6.33,928.0,378.05,37.0,74.45,2149.0,2.0,187.22,64165.0
